,last_sg,last_pl,last_sg/last_pl,pair_count,sg_prob,pl_prob,P(pl|sg),P(sg|pl)
26114,b,r,b/r,36,0.006238508011557657,0.1385441292356186,0.09473684210526316,0.004265908282971916
23962,i,r,i/r,35,0.012247176254268452,0.1385441292356186,0.04691689008042895,0.004147410830667141
57450,w,s,w/s,35,0.00064026792750197,0.07136524822695035,0.8974358974358975,0.008051529790660225
4652,x,n,x/n,32,0.002610323089046493,0.4814978986078277,0.20125786163522014,0.0010910702717446897
36488,t,t,t/t,29,0.12376871552403468,0.0006238508011557657,0.003846664013794933,0.7631578947368421
4061,s,a,s/a,27,0.03935185185185185,0.00870107696348831,0.011264080100125156,0.0509433962264151
55721,k,r,k/r,26,0.024379432624113476,0.1385441292356186,0.017508417508417508,0.0030809337599241615
21126,f,r,f/r,26,0.01607236669293407,0.1385441292356186,0.026557711950970377,0.0030809337599241615
22191,o,o,o/o,19,0.01012936695560809,0.00031192540057788283,0.03079416531604538,1.0
6881,e,i,e/i,17,0.19372209088521145,0.005040057788284738,0.001440677966101695,0.05537459283387622
8192,u,u,u/u,12,0.004498292618859995,0.00019700551615445234,0.043795620437956206,1.0
23774,k,k,k/k,12,0.024379432624113476,0.00019700551615445234,0.00808080808080808,1.0
11183,m,m,m/m,12,0.0312746256895193,0.0005581822957709483,0.006299212598425197,0.35294117647058826
25879,c,s,c/s,11,0.0002626740215392698,0.07136524822695035,0.6875,0.0025304807913503567
51631,v,n,v/n,10,0.002380483320199632,0.4814978986078277,0.06896551724137931,0.00034095945992021546
4485,d,d,d/d,9,0.028779222484896245,0.00018058838980824796,0.00513405590416429,0.8181818181818182
10434,a,ä,a/ä,9,0.015366430260047281,0.00014775413711583924,0.009615384615384616,1.0
57561,ß,n,ß/n,9,0.0027252429734699237,0.4814978986078277,0.05421686746987952,0.00030686351392819394
27868,e,a,e/a,9,0.19372209088521145,0.00870107696348831,0.0007627118644067797,0.016981132075471698
10568,h,h,h/h,8,0.027055424218544784,0.00021342264250065669,0.0048543689320388345,0.6153846153846154
20764,z,z,z/z,8,0.016827554504859468,0.0001313370107696349,0.007804878048780488,1.0
5925,x,x,x/x,8,0.002610323089046493,0.00019700551615445234,0.050314465408805034,0.6666666666666666
27501,ü,s,ü/s,8,0.00014775413711583924,0.07136524822695035,0.8888888888888888,0.001840349666436623
59463,a,i,a/i,8,0.015366430260047281,0.005040057788284738,0.008547008547008548,0.026058631921824105
21940,ö,n,ö/n,7,0.0001313370107696349,0.4814978986078277,0.875,0.00023867162194415084
21589,g,g,g/g,7,0.09433280798529026,0.0001313370107696349,0.0012182387747998607,0.875
8806,g,r,g/r,7,0.09433280798529026,0.1385441292356186,0.0012182387747998607,0.0008294821661334282
22873,a,t,a/t,6,0.015366430260047281,0.0006238508011557657,0.00641025641025641,0.15789473684210525
15630,c,c,c/c,5,0.0002626740215392698,8.208563173102181e-05,0.3125,1.0
5525,D,s,D/s,4,6.566850538481745e-05,0.07136524822695035,1.0,0.0009201748332183115
19566,i,m,i/m,4,0.012247176254268452,0.0005581822957709483,0.005361930294906166,0.11764705882352941
39479,l,m,l/m,4,0.06112096138691883,0.0005581822957709483,0.0010744023636852001,0.11764705882352941
51571,f,f,f/f,4,0.01607236669293407,6.566850538481745e-05,0.0040858018386108275,1.0
1404,t,a,t/a,4,0.12376871552403468,0.00870107696348831,0.0005305743467303355,0.007547169811320755
21503,e,r,e/r,4,0.19372209088521145,0.1385441292356186,0.00033898305084745765,0.0004739898092191018
56376,r,m,r/m,4,0.14404386656159707,0.0005581822957709483,0.00045589240939138365,0.11764705882352941
39329,u,x,u/x,4,0.004498292618859995,0.00019700551615445234,0.014598540145985401,0.3333333333333333
5724,M,s,M/s,3,6.566850538481745e-05,0.07136524822695035,0.75,0.0006901311249137336
20644,e,?,e/?,3,0.19372209088521145,0.0002462568951930654,0.0002542372881355932,0.2
19030,h,m,h/m,3,0.027055424218544784,0.0005581822957709483,0.0018203883495145632,0.08823529411764706
27424,r,a,r/a,3,0.14404386656159707,0.00870107696348831,0.0003419193070435377,0.005660377358490566
17726,n,i,n/i,3,0.13430851063829788,0.005040057788284738,0.0003667033370003667,0.009771986970684038
30454,R,s,R/s,3,4.9251379038613084e-05,0.07136524822695035,1.0,0.0006901311249137336
13829,ß,r,ß/r,3,0.0027252429734699237,0.1385441292356186,0.018072289156626505,0.00035549235691432633
59149,k,i,k/i,3,0.024379432624113476,0.005040057788284738,0.00202020202020202,0.009771986970684038
56402,ß,ß,ß/ß,3,0.0027252429734699237,4.9251379038613084e-05,0.018072289156626505,1.0
58179,a,h,a/h,2,0.015366430260047281,0.00021342264250065669,0.002136752136752137,0.15384615384615385
17576,z,m,z/m,2,0.016827554504859468,0.0005581822957709483,0.001951219512195122,0.058823529411764705
11224,x,a,x/a,2,0.002610323089046493,0.00870107696348831,0.012578616352201259,0.0037735849056603774
57773,C,s,C/s,2,4.9251379038613084e-05,0.07136524822695035,0.6666666666666666,0.00046008741660915573
5982,i,h,i/h,2,0.012247176254268452,0.00021342264250065669,0.002680965147453083,0.15384615384615385
4142,n,?,n/?,2,0.13430851063829788,0.0002462568951930654,0.0002444688913335778,0.13333333333333333
18449,b,m,b/m,2,0.006238508011557657,0.0005581822957709483,0.005263157894736842,0.058823529411764705
2427,g,?,g/?,2,0.09433280798529026,0.0002462568951930654,0.0003480682213713888,0.13333333333333333
59145,s,?,s/?,2,0.03935185185185185,0.0002462568951930654,0.0008343763037129745,0.13333333333333333
21717,t,?,t/?,2,0.12376871552403468,0.0002462568951930654,0.00026528717336516777,0.13333333333333333
15550,y,e,y/e,2,0.0024789860782768584,0.26938862621486737,0.013245033112582781,0.00012188433176915108
57231,a,r,a/r,2,0.015366430260047281,0.1385441292356186,0.002136752136752137,0.0002369949046095509
38690,w,w,w/w,2,0.00064026792750197,3.283425269240872e-05,0.05128205128205128,1.0
5990,h,d,h/d,2,0.027055424218544784,0.00018058838980824796,0.0012135922330097086,0.18181818181818182
7302,b,b,b/b,2,0.006238508011557657,3.283425269240872e-05,0.005263157894736842,1.0
22476,h,i,h/i,2,0.027055424218544784,0.005040057788284738,0.0012135922330097086,0.006514657980456026
22500,b,a,b/a,1,0.006238508011557657,0.00870107696348831,0.002631578947368421,0.0018867924528301887
28887,d,i,d/i,1,0.028779222484896245,0.005040057788284738,0.0005704506560182544,0.003257328990228013
56502,S,S,S/S,1,1.641712634620436e-05,1.641712634620436e-05,1.0,1.0
56445,M,M,M/M,1,6.566850538481745e-05,1.641712634620436e-05,0.25,1.0
22599,y,y,y/y,1,0.0024789860782768584,1.641712634620436e-05,0.006622516556291391,1.0
20935,k,m,k/m,1,0.024379432624113476,0.0005581822957709483,0.0006734006734006734,0.029411764705882353
20933,d,m,d/m,1,0.028779222484896245,0.0005581822957709483,0.0005704506560182544,0.029411764705882353
26355,r,?,r/?,1,0.14404386656159707,0.0002462568951930654,0.00011397310234784591,0.06666666666666667
38763,w,a,w/a,1,0.00064026792750197,0.00870107696348831,0.02564102564102564,0.0018867924528301887
39185,e,t,e/t,1,0.19372209088521145,0.0006238508011557657,8.474576271186441e-05,0.02631578947368421
47013,F,s,F/s,1,1.641712634620436e-05,0.07136524822695035,1.0,0.00023004370830457787
51469,U,U,U/U,1,3.283425269240872e-05,1.641712634620436e-05,0.5,1.0
19459,r,h,r/h,1,0.14404386656159707,0.00021342264250065669,0.00011397310234784591,0.07692307692307693
49387,H,s,H/s,1,1.641712634620436e-05,0.07136524822695035,1.0,0.00023004370830457787
21643,í,í,í/í,1,1.641712634620436e-05,1.641712634620436e-05,1.0,1.0
37680,ö,s,ö/s,1,0.0001313370107696349,0.07136524822695035,0.125,0.00023004370830457787
33014,à,s,à/s,1,1.641712634620436e-05,0.07136524822695035,1.0,0.00023004370830457787
22974,h,t,h/t,1,0.027055424218544784,0.0006238508011557657,0.0006067961165048543,0.02631578947368421
379,o,a,o/a,1,0.01012936695560809,0.00870107696348831,0.0016207455429497568,0.0018867924528301887
27890,z,?,z/?,1,0.016827554504859468,0.0002462568951930654,0.000975609756097561,0.06666666666666667
11217,č,i,č/i,1,1.641712634620436e-05,0.005040057788284738,1.0,0.003257328990228013
57429,g,i,g/i,1,0.09433280798529026,0.005040057788284738,0.0001740341106856944,0.003257328990228013
12795,m,?,m/?,1,0.0312746256895193,0.0002462568951930654,0.0005249343832020997,0.06666666666666667
22129,r,i,r/i,1,0.14404386656159707,0.005040057788284738,0.00011397310234784591,0.003257328990228013
32021,p,p,p/p,1,0.003923693196742842,1.641712634620436e-05,0.0041841004184100415,1.0
6341,u,i,u/i,1,0.004498292618859995,0.005040057788284738,0.0036496350364963502,0.003257328990228013
4914,W,s,W/s,1,3.283425269240872e-05,0.07136524822695035,0.5,0.00023004370830457787
15633,o,e,o/e,1,0.01012936695560809,0.26938862621486737,0.0016207455429497568,6.094216588457554e-05
28964,i,g,i/g,1,0.012247176254268452,0.0001313370107696349,0.0013404825737265416,0.125
4913,W,W,W/W,1,3.283425269240872e-05,1.641712634620436e-05,0.5,1.0
39549,A,s,A/s,1,1.641712634620436e-05,0.07136524822695035,1.0,0.00023004370830457787
42549,ü,ü,ü/ü,1,0.00014775413711583924,1.641712634620436e-05,0.1111111111111111,1.0
57772,C,C,C/C,1,4.9251379038613084e-05,1.641712634620436e-05,0.3333333333333333,1.0
2341,U,s,U/s,1,3.283425269240872e-05,0.07136524822695035,0.5,0.00023004370830457787
25732,f,?,f/?,1,0.01607236669293407,0.0002462568951930654,0.0010214504596527069,0.06666666666666667
272,k,t,k/t,1,0.024379432624113476,0.0006238508011557657,0.0006734006734006734,0.02631578947368421
17577,w,m,w/m,1,0.00064026792750197,0.0005581822957709483,0.02564102564102564,0.029411764705882353
1832,3,s,3/s,1,1.641712634620436e-05,0.07136524822695035,1.0,0.00023004370830457787
22615,á,á,á/á,1,1.641712634620436e-05,1.641712634620436e-05,1.0,1.0
8816,d,a,d/a,1,0.028779222484896245,0.00870107696348831,0.0005704506560182544,0.0018867924528301887
41008,I,I,I/I,1,3.283425269240872e-05,1.641712634620436e-05,0.5,1.0
41009,I,s,I/s,1,3.283425269240872e-05,0.07136524822695035,0.5,0.00023004370830457787
43855,P,s,P/s,1,1.641712634620436e-05,0.07136524822695035,1.0,0.00023004370830457787
6830,k,a,k/a,1,0.024379432624113476,0.00870107696348831,0.0006734006734006734,0.0018867924528301887
